node_id,timestamp,ID,geometry,x,y
11265,2135.09071947,11265,POINT (150.6969146729 -33.7545814514),150.696914673,-33.7545814514
11423,2147.07792745,11423,POINT (150.6978759766 -33.7536888123),150.697875977,-33.7536888123
11674,2166.658798,11674,POINT (150.6992950439 -33.7540016174),150.699295044,-33.7540016174
11758,2175.28885649,11758,POINT (150.6999206543 -33.7541389465),150.699920654,-33.7541389465
11795,2179.87544377,11795,POINT (150.700088501 -33.7535820007),150.700088501,-33.7535820007
11832,2185.30664066,11832,POINT (150.700302124 -33.7529258728),150.700302124,-33.7529258728
11570,2195.40800425,11570,POINT (150.6988372803 -33.7526054382),150.69883728,-33.7526054382
11576,2196.24487831,11576,POINT (150.6988677979 -33.7525596619),150.698867798,-33.7525596619
11590,2200.30479178,11590,POINT (150.6988983154 -33.7520942688),150.698898315,-33.7520942688
11590,2260.30479178,11590,POINT (150.6988983154 -33.7520942688),150.698898315,-33.7520942688
11576,2264.36470524,11576,POINT (150.6988677979 -33.7525596619),150.698867798,-33.7525596619
11570,2265.2015793,11570,POINT (150.6988372803 -33.7526054382),150.69883728,-33.7526054382
11279,2277.9501108,11279,POINT (150.6969909668 -33.7521934509),150.696990967,-33.7521934509
11228,2280.58557945,11228,POINT (150.696685791 -33.7521247864),150.696685791,-33.7521247864
11046,2281.21209211,11046,POINT (150.6954650879 -33.7518501282),150.695465088,-33.7518501282
11094,2293.50767569,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,2353.50767569,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,2313.50767569,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
10898,2321.82634365,10898,POINT (150.694442749 -33.7505493164),150.694442749,-33.7505493164
10335,2329.2692762,10335,POINT (150.6892242432 -33.7495040894),150.689224243,-33.7495040894
10273,2333.94478462,10273,POINT (150.6885375977 -33.7495803833),150.688537598,-33.7495803833
10255,2336.22331599,10255,POINT (150.688293457 -33.7497711182),150.688293457,-33.7497711182
10210,2344.06797173,10210,POINT (150.6877593994 -33.7506446838),150.687759399,-33.7506446838
10206,2344.76842917,10206,POINT (150.6877288818 -33.7507286072),150.687728882,-33.7507286072
10205,2345.5239493,10205,POINT (150.6876983643 -33.7508392334),150.687698364,-33.7508392334
10205,2378.08125978,10205,POINT (150.6876983643 -33.7508392334),150.687698364,-33.7508392334
10200,2379.77777817,10200,POINT (150.6876373291 -33.7510871887),150.687637329,-33.7510871887
10186,2386.73497397,10186,POINT (150.6874847412 -33.7521247864),150.687484741,-33.7521247864
10183,2387.50246326,10183,POINT (150.6874694824 -33.7522392273),150.687469482,-33.7522392273
10154,2404.48344394,10154,POINT (150.6871948242 -33.754776001),150.687194824,-33.754776001
10061,2420.5637742,10061,POINT (150.6862487793 -33.7570533752),150.686248779,-33.7570533752
10047,2421.77307275,10047,POINT (150.6860809326 -33.7569961548),150.686080933,-33.7569961548
10049,2422.38116165,10049,POINT (150.6861114502 -33.7569084167),150.68611145,-33.7569084167
10170,2454.79889228,10170,POINT (150.6873321533 -33.7521858215),150.687332153,-33.7521858215
10177,2460.5088985,10177,POINT (150.6874237061 -33.7513313293),150.687423706,-33.7513313293
10184,2464.36957024,10184,POINT (150.6874694824 -33.7507553101),150.687469482,-33.7507553101
10164,2466.32782068,10164,POINT (150.687286377 -33.7505073547),150.687286377,-33.7505073547
10002,2477.14857145,10002,POINT (150.6855926514 -33.7497062683),150.685592651,-33.7497062683
10165,2489.77746423,10165,POINT (150.687286377 -33.7504081726),150.687286377,-33.7504081726
10165,2549.77746423,10165,POINT (150.687286377 -33.7504081726),150.687286377,-33.7504081726
10227,2554.72519965,10227,POINT (150.6878814697 -33.7501525879),150.68788147,-33.7501525879
10252,2560.20543279,10252,POINT (150.6882476807 -33.7495384216),150.688247681,-33.7495384216
10263,2561.75235191,10263,POINT (150.6884307861 -33.749420166),150.688430786,-33.749420166
10269,2562.16066604,10269,POINT (150.6884918213 -33.7494163513),150.688491821,-33.7494163513
10297,2564.11152988,10297,POINT (150.6887817383 -33.7494468689),150.688781738,-33.7494468689
10902,2603.07248998,10902,POINT (150.6944580078 -33.7504806519),150.694458008,-33.7504806519
11100,2611.432888,11100,POINT (150.6959228516 -33.7506027222),150.695922852,-33.7506027222
11094,2612.16752319,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,2672.16752319,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,2632.16752319,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11100,2632.90215838,11100,POINT (150.6959228516 -33.7506027222),150.695922852,-33.7506027222
11309,2640.2889229,11309,POINT (150.6972045898 -33.7508010864),150.69720459,-33.7508010864
11864,2660.0500971,11864,POINT (150.7006225586 -33.7515830994),150.700622559,-33.7515830994
11889,2661.44418832,11889,POINT (150.7007751465 -33.7516593933),150.700775147,-33.7516593933
11895,2661.56282149,11895,POINT (150.7007904053 -33.7516517639),150.700790405,-33.7516517639
11849,2668.25335627,11849,POINT (150.7004699707 -33.7523880005),150.700469971,-33.7523880005
11832,2672.69238832,11832,POINT (150.700302124 -33.7529258728),150.700302124,-33.7529258728
12125,2690.88533536,12125,POINT (150.7029418945 -33.7534980774),150.702941894,-33.7534980774
12090,2700.98682558,12090,POINT (150.702545166 -33.7547187805),150.702545166,-33.7547187805
12050,2709.60344571,12050,POINT (150.7022247314 -33.7557640076),150.702224731,-33.7557640076
12016,2717.66060689,12016,POINT (150.7019042969 -33.7567367554),150.701904297,-33.7567367554
12021,2718.43815352,12021,POINT (150.7019348145 -33.7568130493),150.701934814,-33.7568130493
12008,2719.27479764,12008,POINT (150.7018432617 -33.756855011),150.701843262,-33.756855011
11953,2731.97671061,11953,POINT (150.7013549805 -33.758392334),150.701354981,-33.758392334
