node_id,timestamp,ID,geometry,x,y
94191,3573.99841053,94191,POINT (151.0646362305 -34.0166816711),151.064636231,-34.0166816711
94239,3575.52817052,94239,POINT (151.0648651123 -34.0166625977),151.064865112,-34.0166625977
94268,3576.241119,94268,POINT (151.0649719238 -34.0166549683),151.064971924,-34.0166549683
94280,3576.89208055,94280,POINT (151.0650177002 -34.0165901184),151.0650177,-34.0165901184
94265,3580.17715939,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94265,3640.17715939,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94265,3650.17715939,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94265,3660.17715939,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94265,3670.17715939,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94265,3630.17715939,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94280,3633.61339031,94280,POINT (151.0650177002 -34.0165901184),151.0650177,-34.0165901184
94268,3634.26435186,94268,POINT (151.0649719238 -34.0166549683),151.064971924,-34.0166549683
94239,3634.97730034,94239,POINT (151.0648651123 -34.0166625977),151.064865112,-34.0166625977
94191,3636.50706033,94191,POINT (151.0646362305 -34.0166816711),151.064636231,-34.0166816711
94157,3637.72821073,94157,POINT (151.064453125 -34.0166931152),151.064453125,-34.0166931152
94135,3638.4016231,94135,POINT (151.0643920898 -34.0166358948),151.06439209,-34.0166358948
93919,3647.94209832,93919,POINT (151.0635681152 -34.0158843994),151.063568115,-34.0158843994
94052,3703.83779,94052,POINT (151.0641021729 -34.0124359131),151.064102173,-34.0124359131
94052,3763.83778866,94052,POINT (151.0641021729 -34.0124359131),151.064102173,-34.0124359131
93919,3819.73348034,93919,POINT (151.0635681152 -34.0158843994),151.063568115,-34.0158843994
94135,3829.27395556,94135,POINT (151.0643920898 -34.0166358948),151.06439209,-34.0166358948
94157,3829.94736793,94157,POINT (151.064453125 -34.0166931152),151.064453125,-34.0166931152
94191,3831.16851833,94191,POINT (151.0646362305 -34.0166816711),151.064636231,-34.0166816711
94239,3832.69827831,94239,POINT (151.0648651123 -34.0166625977),151.064865112,-34.0166625977
94268,3833.4112268,94268,POINT (151.0649719238 -34.0166549683),151.064971924,-34.0166549683
94280,3834.06218835,94280,POINT (151.0650177002 -34.0165901184),151.0650177,-34.0165901184
94265,3837.49841927,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94265,3847.49841927,94265,POINT (151.064956665 -34.0161628723),151.064956665,-34.0161628723
94655,3859.52164845,94655,POINT (151.0667419434 -34.0163993835),151.066741943,-34.0163993835
94876,3866.30836283,94876,POINT (151.0677490234 -34.0165367126),151.067749023,-34.0165367126
94899,3867.30708435,94899,POINT (151.0678405762 -34.0164413452),151.067840576,-34.0164413452
94922,3868.13680195,94922,POINT (151.0679626465 -34.016456604),151.067962647,-34.016456604
